First Name,Last Name ,Year,Salaries,Rank
Carlos,Rogers,2000,NA,274
Shandon,Anderson,2000,NA,275
Eric,Piatkowski,2000,NA,276
Ron,Harper,2000,NA,277
Grant,Long,2000,NA,278
George,Lynch,2000,NA,279
Detlef,Schrempf,2000,NA,280
Olden,Polynice,2000,NA,281
Michael,Smith,2000,NA,282
Cory,Alexander,2000,NA,283
DerMarr,Johnson,2000,NA,284
John,Williams,2000,NA,285
Clarence,Weatherspoon,2000,NA,286
Hubert,Davis,2000,NA,287
Billy,Owens,2000,NA,288
Eric,Murdock,2000,NA,289
Matt,Bullard,2000,NA,290
Cherokee,Parks,2000,NA,291
Alvin,Williams,2000,NA,292
Johnny,Newman,2000,NA,293
Chris,Mihm,2000,NA,294
Keith,Closs,2000,NA,295
Andrew,DeClercq,2000,NA,296
James,Robinson,2000,NA,297
Aaron,McKie,2000,NA,298
Jamal,Crawford,2000,NA,299
Jaren,Jackson,2000,NA,300
Lorenzo,Williams,2000,NA,301
Muggsy,Bogues,2000,NA,302
Darvin,Ham,2000,NA,303
Joel,Przybilla,2000,NA,304
Keyon,Dooling,2000,NA,305
Jacque,Vaughn,2000,NA,306
Predrag,Stojakovic,2000,NA,307
Jerome,Moiso,2000,NA,308
Michael,Doleac,2000,NA,309
Etan,Thomas,2000,NA,310
Tony,Massenburg,2000,NA,311
Corie,Blount,2000,NA,312
Courtney,Alexander,2000,NA,313
Gary,Grant,2000,NA,314
William,Avery,2000,NA,315
Mateen,Cleaves,2000,NA,316
Anthony,Johnson,2000,NA,317
Chris,Carr,2000,NA,318
Joe,Kleine,2000,NA,319
Zan,Tabak,2000,NA,320
Chuck,Person,2000,NA,321
Anthony,Carter,2000,NA,322
LaPhonso,Ellis,2000,NA,323
Danny,Ferry,2000,NA,324
Dennis,Scott,2000,NA,325
Jason,Collier,2000,NA,326
Bryce,Drew,2000,NA,327
Elliot,Perry,2000,NA,328
Hidayet,Turkoglu,2000,NA,329
Tom,Hammonds,2000,NA,330
Radoslav,Nesterovic,2000,NA,331
Jelani,McCoy,2000,NA,332
Sherman,Douglas,2000,NA,333
Greg,Buckner,2000,NA,334
Desmond,Mason,2000,NA,335
Mirsad,Turkcan,2000,NA,336
Bill,Curley,2000,NA,337
Quentin,Richardson,2000,NA,338
Kevin,Edwards,2000,NA,339
Jerome,Kersey,2000,NA,340
Felton,Spencer,2000,NA,341
David,Wingate,2000,NA,342
Pervis,Ellison,2000,NA,343
Dee,Brown,2000,NA,344
Monty,Williams,2000,NA,345
Mario,Elie,2000,NA,346
Tyrone,Corbin,2000,NA,347
Bruno,Sundov,2000,NA,348
Ruben,Patterson,2000,NA,349
Jamaal,Magloire,2000,NA,350
Speedy,Claxton,2000,NA,351
Terry,Davis,2000,NA,352
Stacey,Augmon,2000,NA,353
Morris,Peterson,2000,NA,354
Fred,Hoiberg,2000,NA,355
Tyronn,Lue,2000,NA,356
Donnell,Harvey,2000,NA,357
Felipe,Lopez,2000,NA,358
DeShawn,Stevenson,2000,NA,359
John,Crotty,2000,NA,360
Mahmoud,Abdul-Rauf,2000,NA,361
Dalibor,Bagaric,2000,NA,362
Sam,Jacobson,2000,NA,363
Iakovos,Tsakalidis,2000,NA,364
Corey,Benjamin,2000,NA,365
Vladimir,Stepania,2000,NA,366
Nazr,Mohammed,2000,NA,367
Mamadou,N'diaye,2000,NA,368
Isaiah,Rider,2000,NA,369
Todd,Day,2000,NA,370
David,Benoit,2000,NA,371
Bruce,Bowen,2000,NA,372
Erick,Barkley,2000,NA,373
Damon,Jones,2000,NA,374
Mark,Madsen,2000,NA,375
Reggie,Slater,2000,NA,376
Darrick,Martin,2000,NA,377
Larry,Robinson,2000,NA,378
Todd,Fuller,2000,NA,379
Don,Reid,2000,NA,380
Antonio,Harvey,2000,NA,381
Emanual,Davis,2000,NA,382
Eddie,Robinson,2000,NA,383
John,Amaechi,2000,NA,384
Shammond,Williams,2000,NA,385
Doug,Overton,2000,NA,386
Shawnelle,Scott,2000,NA,387
Rick,Brunson,2000,NA,388
Kevin,Ollie,2000,NA,389
Moochie,Norris,2000,NA,390
Tyus,Edney,2000,NA,391
Jeff,McInnis,2000,NA,392
Etdrick,Bohannon,2000,NA,393
Troy,Hudson,2000,NA,394
Roy,Rogers,2000,NA,395
Ryan,Bowen,2000,NA,396
Ansu,Sesay,2000,NA,397
Laron,Profit,2000,NA,398
Adrian,Griffin,2000,NA,399
Earl,Boykins,2000,NA,400
William,Cunningham,2000,NA,401
Mark,Pope,2000,NA,402
Andrae,Patterson,2000,NA,403
Kornel,David,2000,NA,404
Gerard,King,2000,NA,405
Leon,Smith,2000,NA,406
Michael,Ruffin,2000,NA,407
Evan,Eschmeyer,2000,NA,408
Rodney,Buford,2000,NA,409
Michael,Hawkins,2000,NA,410
Lari,Ketner,2000,NA,411
Maceo,Baston,2000,NA,412
Jonathan,Kerner,2000,NA,413
Lazaro,Borrell,2000,NA,414
Jermaine,Jackson,2000,NA,415
Todd,MacCulloch,2000,NA,416
Derrick,Dial,2000,NA,417
Calvin,Booth,2000,NA,418
Obinna,Ekezie,2000,NA,419
Hanno,Mottola,2000,NA,420
Mark,Blount,2000,NA,421
Milt,Palacio,2000,NA,422
Chris,Herren,2000,NA,423
Soumaila,Samake,2000,NA,424
